Team Name,Total Members,Total Coaches,TechSharing2-ADAM_Members,TechSharing2-ADAM_Coaches,TechSharing2-ADAM_Score,TechSharing3-N8N_Members,TechSharing3-N8N_Coaches,TechSharing3-N8N_Score,TechSharing3.1-Claude_Members,TechSharing3.1-Claude_Coaches,TechSharing3.1-Claude_Score,Total_Members_Attended,Total_Coaches_Attended,Total_Member_Points,Total_Coach_Points,Total_Score,Average_Score,Member_Attendance_Rate,Coach_Attendance_Rate
"Team ""OG"" OptiGen",4,1,0,0,0,2,0,2,3,0,3,5,0,5,0,5,1.67,41.7%,0.0%
oiiaoooiia,5,1,2,0,2,2,0,2,1,0,1,5,0,5,0,5,1.67,33.3%,0.0%
/mnt/SamLAN,5,1,2,0,2,2,0,2,0,0,0,4,0,4,0,4,1.33,26.7%,0.0%
AImbitious,5,1,1,0,1,2,0,2,1,0,1,4,0,4,0,4,1.33,26.7%,0.0%
AMEA Might,4,1,1,0,1,2,0,2,1,0,1,4,0,4,0,4,1.33,33.3%,0.0%
Closed Cirqit,5,1,1,0,1,2,0,2,1,0,1,4,0,4,0,4,1.33,26.7%,0.0%
Project AI-nya,3,1,2,0,2,1,0,1,1,0,1,4,0,4,0,4,1.33,44.4%,0.0%
Sans Rival,4,1,1,0,1,2,0,2,1,0,1,4,0,4,0,4,1.33,33.3%,0.0%
TEAM MSPSP,5,1,2,0,2,1,0,1,1,0,1,4,0,4,0,4,1.33,26.7%,0.0%
The Saja Boys,5,1,1,0,1,2,0,2,1,0,1,4,0,4,0,4,1.33,26.7%,0.0%
Third Team,5,1,1,0,1,2,0,2,1,0,1,4,0,4,0,4,1.33,26.7%,0.0%
#RateLimit,5,1,1,0,1,1,0,1,1,0,1,3,0,3,0,3,1.0,20.0%,0.0%
AI'm possible,5,1,2,0,2,1,0,1,0,0,0,3,0,3,0,3,1.0,20.0%,0.0%
AIdea Promptrenders,5,1,1,0,1,1,0,1,1,0,1,3,0,3,0,3,1.0,20.0%,0.0%
CTRL+SHIFT+D,4,1,1,0,1,1,0,1,1,0,1,3,0,3,0,3,1.0,25.0%,0.0%
Cloud One and friends,5,1,2,0,2,1,0,1,0,0,0,3,0,3,0,3,1.0,20.0%,0.0%
EmAI CONSUMER,4,1,2,0,2,1,0,1,0,0,0,3,0,3,0,3,1.0,25.0%,0.0%
GPTeehehe_hee,4,1,2,0,2,1,0,1,0,0,0,3,0,3,0,3,1.0,25.0%,0.0%
Hugging Facepalm,4,1,1,0,1,1,0,1,1,0,1,3,0,3,0,3,1.0,25.0%,0.0%
IR KNIGHTS,5,1,0,1,2,1,0,1,0,0,0,1,1,1,2,3,1.0,6.7%,33.3%
SPAMURAI X ATONG,4,1,1,0,1,1,0,1,1,0,1,3,0,3,0,3,1.0,25.0%,0.0%
Script Happens,5,1,1,0,1,2,0,2,0,0,0,3,0,3,0,3,1.0,20.0%,0.0%
Secret Aigents,4,1,1,0,1,1,0,1,1,0,1,3,0,3,0,3,1.0,25.0%,0.0%
Team Vanguard,5,1,1,0,1,1,0,1,1,0,1,3,0,3,0,3,1.0,20.0%,0.0%
Thesis Group_FinalNaTalaga.doc,5,1,2,0,2,1,0,1,0,0,0,3,0,3,0,3,1.0,20.0%,0.0%
24x7 SIR SIRS,5,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,13.3%,0.0%
AI Avengers,4,1,2,0,2,0,0,0,0,0,0,2,0,2,0,2,0.67,16.7%,0.0%
AI Na Ko CONS,4,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,16.7%,0.0%
AInÕt No Malware,5,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,13.3%,0.0%
CrowMailCrypt,5,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,13.3%,0.0%
Ctrl-Freaks,4,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,16.7%,0.0%
E.C. AI CONSUMER,3,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,22.2%,0.0%
G. N. R. 8.,4,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,16.7%,0.0%
LeTMeCheck,4,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,16.7%,0.0%
M.E.M.E.Z. CONS,4,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,16.7%,0.0%
Operation Elrond.AI,3,1,0,0,0,1,0,1,1,0,1,2,0,2,0,2,0.67,22.2%,0.0%
Short cirQit,5,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,13.3%,0.0%
taskh-AI-ve,4,1,1,0,1,1,0,1,0,0,0,2,0,2,0,2,0.67,16.7%,0.0%
-CirQTies-,3,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0.33,11.1%,0.0%
404 Threat Not Found,5,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0.33,6.7%,0.0%
AMEA Knights,4,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0.33,8.3%,0.0%
B.U.M.B.L.E. (Bots Using Machine Brainpower to Lure Enlightenment),4,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0.33,8.3%,0.0%
New Avengerz,4,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0.33,8.3%,0.0%
Ruff Riders,5,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0.33,6.7%,0.0%
ScamAI CONS,3,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0.33,11.1%,0.0%
ShieldOpss,4,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0.33,8.3%,0.0%
SiomAI Warriors,4,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0.33,8.3%,0.0%
Team Five Js,5,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0.33,6.7%,0.0%
Trender Juicy Hotbot,4,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0.33,8.3%,0.0%
 __________________,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
AI-ronic Squad,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
AInnovators,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Aimazing CONS,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Alliance of Just Minds,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0%,0.0%
Byte Me AI,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Code.ANZAI,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
DeepThinkAI Team,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Fast & Curious,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Promptrix CONS,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Public AIgents,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
QTS in cirQ_it,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Team Byaheros,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Team F.I.R.E,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
Three C IS,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0%,0.0%
